Date,Price (USD)
2023-11-09 00:00:00+00:00,98
2023-11-09 00:08:38+00:00,88
2023-11-09 00:17:16+00:00,86
2023-11-09 00:25:54+00:00,86
2023-11-09 00:34:32+00:00,86
2023-11-09 00:43:10+00:00,90
2023-11-09 00:51:48+00:00,89
2023-11-09 01:00:26+00:00,86
2023-11-09 01:09:04+00:00,114
2023-11-09 01:17:42+00:00,111
2023-11-09 01:26:20+00:00,86
2023-11-09 01:34:58+00:00,94
2023-11-09 01:43:36+00:00,86
2023-11-09 01:52:14+00:00,85
2023-11-09 02:00:52+00:00,102
2023-11-09 02:09:30+00:00,102
2023-11-09 02:18:08+00:00,94
2023-11-09 02:26:46+00:00,100
2023-11-09 02:35:24+00:00,95
2023-11-09 02:44:02+00:00,95
2023-11-09 02:52:40+00:00,93
2023-11-09 03:01:18+00:00,108
2023-11-09 03:09:56+00:00,98
2023-11-09 03:18:34+00:00,98
2023-11-09 03:27:12+00:00,86
2023-11-09 03:35:50+00:00,98
2023-11-09 03:44:28+00:00,86
2023-11-09 03:53:06+00:00,114
2023-11-09 04:01:44+00:00,96
2023-11-09 04:10:22+00:00,92
2023-11-09 04:19:00+00:00,92
2023-11-09 04:27:38+00:00,90
2023-11-09 04:36:16+00:00,99
2023-11-09 04:44:54+00:00,108
2023-11-09 04:53:32+00:00,86
2023-11-09 05:02:10+00:00,107
2023-11-09 05:10:48+00:00,89
2023-11-09 05:19:26+00:00,89
2023-11-09 05:28:04+00:00,98
2023-11-09 05:36:42+00:00,87
2023-11-09 05:45:20+00:00,70
2023-11-09 05:53:58+00:00,70
2023-11-09 06:02:36+00:00,70
2023-11-09 06:11:14+00:00,93
2023-11-09 06:19:52+00:00,93
2023-11-09 06:28:30+00:00,85
2023-11-09 06:37:08+00:00,85
2023-11-09 06:45:46+00:00,110
2023-11-09 06:54:24+00:00,112
2023-11-09 07:03:02+00:00,112
2023-11-09 07:11:40+00:00,110
2023-11-09 07:20:18+00:00,110
2023-11-09 07:28:56+00:00,87
2023-11-09 07:37:34+00:00,87
2023-11-09 07:46:12+00:00,87
2023-11-09 07:54:50+00:00,105
2023-11-09 08:03:28+00:00,79
2023-11-09 08:12:06+00:00,79
2023-11-09 08:20:44+00:00,79
2023-11-09 08:29:22+00:00,110
2023-11-09 08:38:00+00:00,110
2023-11-09 08:46:38+00:00,103
2023-11-09 08:55:16+00:00,103
2023-11-09 09:03:54+00:00,103
2023-11-09 09:12:32+00:00,103
2023-11-09 09:21:10+00:00,88
2023-11-09 09:29:48+00:00,88
2023-11-09 09:38:26+00:00,88
2023-11-09 09:47:04+00:00,88
2023-11-09 09:55:42+00:00,88
2023-11-09 10:04:20+00:00,88
2023-11-09 10:12:58+00:00,88
2023-11-09 10:21:36+00:00,88
2023-11-09 10:30:14+00:00,81
2023-11-09 10:38:52+00:00,86
2023-11-09 10:47:30+00:00,86
2023-11-09 10:56:08+00:00,86
2023-11-09 11:04:46+00:00,68
2023-11-09 11:13:24+00:00,68
2023-11-09 11:22:02+00:00,109
2023-11-09 11:30:40+00:00,92
2023-11-09 11:39:18+00:00,94
2023-11-09 11:47:56+00:00,94
2023-11-09 11:56:34+00:00,94
2023-11-09 12:05:12+00:00,86
2023-11-09 12:13:50+00:00,86
2023-11-09 12:22:28+00:00,98
2023-11-09 12:31:06+00:00,85
2023-11-09 12:39:44+00:00,93
2023-11-09 12:48:22+00:00,93
2023-11-09 12:57:00+00:00,93
2023-11-09 13:05:38+00:00,83
2023-11-09 13:14:16+00:00,94
2023-11-09 13:22:54+00:00,97
2023-11-09 13:31:32+00:00,86
2023-11-09 13:40:10+00:00,100
2023-11-09 13:48:48+00:00,85
2023-11-09 13:57:26+00:00,90
2023-11-09 14:06:04+00:00,88
2023-11-09 14:14:42+00:00,95
2023-11-09 14:23:20+00:00,85
2023-11-09 14:31:58+00:00,93
2023-11-09 14:40:36+00:00,82
2023-11-09 14:49:14+00:00,101
2023-11-09 14:57:52+00:00,85
2023-11-09 15:06:30+00:00,85
2023-11-09 15:15:08+00:00,85
2023-11-09 15:23:46+00:00,94
2023-11-09 15:32:24+00:00,100
2023-11-09 15:41:02+00:00,85
2023-11-09 15:49:40+00:00,115
2023-11-09 15:58:18+00:00,96
2023-11-09 16:06:56+00:00,103
2023-11-09 16:15:34+00:00,87
2023-11-09 16:24:12+00:00,87
2023-11-09 16:32:50+00:00,85
2023-11-09 16:41:28+00:00,86
2023-11-09 16:50:06+00:00,93
2023-11-09 16:58:44+00:00,86
2023-11-09 17:07:22+00:00,99
2023-11-09 17:16:00+00:00,86
2023-11-09 17:24:38+00:00,85
2023-11-09 17:33:16+00:00,94
2023-11-09 17:41:54+00:00,89
2023-11-09 17:50:32+00:00,93
2023-11-09 17:59:10+00:00,89
2023-11-09 18:07:48+00:00,82
2023-11-09 18:16:26+00:00,82
2023-11-09 18:25:04+00:00,82
2023-11-09 18:33:42+00:00,82
2023-11-09 18:42:20+00:00,82
2023-11-09 18:50:58+00:00,87
2023-11-09 18:59:36+00:00,87
2023-11-09 19:08:14+00:00,91
2023-11-09 19:16:52+00:00,85
2023-11-09 19:25:30+00:00,96
2023-11-09 19:34:08+00:00,96
2023-11-09 19:42:46+00:00,102
2023-11-09 19:51:24+00:00,89
2023-11-09 20:00:02+00:00,89
2023-11-09 20:08:40+00:00,89
2023-11-09 20:17:18+00:00,89
2023-11-09 20:25:56+00:00,89
2023-11-09 20:34:34+00:00,94
2023-11-09 20:43:12+00:00,92
2023-11-09 20:51:50+00:00,92
2023-11-09 21:00:28+00:00,86
2023-11-09 21:09:06+00:00,87
2023-11-09 21:17:44+00:00,90
2023-11-09 21:26:22+00:00,86
2023-11-09 21:35:00+00:00,116
2023-11-09 21:43:38+00:00,101
2023-11-09 21:52:16+00:00,103
2023-11-09 22:00:54+00:00,90
2023-11-09 22:09:32+00:00,98
2023-11-09 22:18:10+00:00,86
2023-11-09 22:26:48+00:00,86
2023-11-09 22:35:26+00:00,90
2023-11-09 22:44:04+00:00,95
2023-11-09 22:52:42+00:00,93
2023-11-09 23:01:20+00:00,86
2023-11-09 23:09:58+00:00,86
2023-11-09 23:18:36+00:00,93
2023-11-09 23:27:14+00:00,100
2023-11-09 23:35:52+00:00,98
2023-11-09 23:44:30+00:00,107
2023-11-09 23:53:08+00:00,92
2023-11-10 00:01:46+00:00,111
2023-11-10 00:10:24+00:00,111
2023-11-10 00:19:02+00:00,100
2023-11-10 00:27:40+00:00,85
2023-11-10 00:36:18+00:00,86
2023-11-10 00:44:56+00:00,113
2023-11-10 00:53:34+00:00,82
2023-11-10 01:02:12+00:00,103
2023-11-10 01:10:50+00:00,87
2023-11-10 01:19:28+00:00,94
2023-11-10 01:28:06+00:00,87
2023-11-10 01:36:44+00:00,89
2023-11-10 01:45:22+00:00,85
2023-11-10 01:54:00+00:00,97
2023-11-10 02:02:38+00:00,97
2023-11-10 02:11:16+00:00,109
2023-11-10 02:19:54+00:00,95
2023-11-10 02:28:32+00:00,89
2023-11-10 02:37:10+00:00,93
2023-11-10 02:45:48+00:00,91
2023-11-10 02:54:26+00:00,94
2023-11-10 03:03:04+00:00,104
2023-11-10 03:11:42+00:00,99
2023-11-10 03:20:20+00:00,86
2023-11-10 03:28:58+00:00,86
2023-11-10 03:37:36+00:00,86
2023-11-10 03:46:14+00:00,113
2023-11-10 03:54:52+00:00,97
2023-11-10 04:03:30+00:00,78
2023-11-10 04:12:08+00:00,78
2023-11-10 04:20:46+00:00,96
2023-11-10 04:29:24+00:00,98
2023-11-10 04:38:02+00:00,82
2023-11-10 04:46:40+00:00,102
2023-11-10 04:55:18+00:00,102
2023-11-10 05:03:56+00:00,99
2023-11-10 05:12:34+00:00,101
2023-11-10 05:21:12+00:00,101
2023-11-10 05:29:50+00:00,86
2023-11-10 05:38:28+00:00,86
2023-11-10 05:47:06+00:00,99
2023-11-10 05:55:44+00:00,82
