,Date,Price (USD)
0,2023-11-09 00:00:00+00:00,93
1,2023-11-09 01:58:04+00:00,97
2,2023-11-09 03:56:08+00:00,96
3,2023-11-09 05:54:12+00:00,101
4,2023-11-09 07:52:16+00:00,94
5,2023-11-09 09:50:20+00:00,90
6,2023-11-09 11:48:24+00:00,92
7,2023-11-09 13:46:28+00:00,91
8,2023-11-09 15:44:32+00:00,92
9,2023-11-09 17:42:36+00:00,88
10,2023-11-09 19:40:40+00:00,93
11,2023-11-09 21:38:44+00:00,94
12,2023-11-09 23:36:48+00:00,93
13,2023-11-10 01:34:52+00:00,94
14,2023-11-10 03:32:56+00:00,96
15,2023-11-10 05:31:00+00:00,84
16,2023-11-10 07:29:04+00:00,91
17,2023-11-10 09:27:08+00:00,90
18,2023-11-10 11:25:12+00:00,89
19,2023-11-10 13:23:16+00:00,95
20,2023-11-10 15:21:20+00:00,94
21,2023-11-10 17:19:24+00:00,92
22,2023-11-10 19:17:28+00:00,93
23,2023-11-10 21:15:32+00:00,96
24,2023-11-10 23:13:36+00:00,95
25,2023-11-11 01:11:40+00:00,91
26,2023-11-11 03:09:44+00:00,98
27,2023-11-11 05:07:48+00:00,93
28,2023-11-11 07:05:52+00:00,96
29,2023-11-11 09:03:56+00:00,97
30,2023-11-11 11:02:00+00:00,91
31,2023-11-11 13:00:04+00:00,94
32,2023-11-11 14:58:08+00:00,96
33,2023-11-11 16:56:12+00:00,96
34,2023-11-11 18:54:16+00:00,97
35,2023-11-11 20:52:20+00:00,99
36,2023-11-11 22:50:24+00:00,97
37,2023-11-12 00:48:28+00:00,96
38,2023-11-12 02:46:32+00:00,97
39,2023-11-12 04:44:36+00:00,91
40,2023-11-12 06:42:40+00:00,83
41,2023-11-12 08:40:44+00:00,87
42,2023-11-12 10:38:48+00:00,91
43,2023-11-12 12:36:52+00:00,95
44,2023-11-12 14:34:56+00:00,92
45,2023-11-12 16:33:00+00:00,93
46,2023-11-12 18:31:04+00:00,96
47,2023-11-12 20:29:08+00:00,94
48,2023-11-12 22:27:12+00:00,93
49,2023-11-13 00:25:16+00:00,96
50,2023-11-13 02:23:20+00:00,98
51,2023-11-13 04:21:24+00:00,104
52,2023-11-13 06:19:28+00:00,102
53,2023-11-13 08:17:32+00:00,89
54,2023-11-13 10:15:36+00:00,99
55,2023-11-13 12:13:40+00:00,97
56,2023-11-13 14:11:44+00:00,91
57,2023-11-13 16:09:48+00:00,95
58,2023-11-13 18:07:52+00:00,95
59,2023-11-13 20:05:56+00:00,95
60,2023-11-13 22:04:00+00:00,96
61,2023-11-14 00:02:04+00:00,95
62,2023-11-14 02:00:08+00:00,96
63,2023-11-14 03:58:12+00:00,90
64,2023-11-14 05:56:16+00:00,86
65,2023-11-14 07:54:20+00:00,105
66,2023-11-14 09:52:24+00:00,87
67,2023-11-14 11:50:28+00:00,97
68,2023-11-14 13:48:32+00:00,95
69,2023-11-14 15:46:36+00:00,93
70,2023-11-14 17:44:40+00:00,92
71,2023-11-14 19:42:44+00:00,101
72,2023-11-14 21:40:48+00:00,96
73,2023-11-14 23:38:52+00:00,100
74,2023-11-15 01:36:56+00:00,93
75,2023-11-15 03:35:00+00:00,94
76,2023-11-15 05:33:04+00:00,92
77,2023-11-15 07:31:08+00:00,98
78,2023-11-15 09:29:12+00:00,91
79,2023-11-15 11:27:16+00:00,93
80,2023-11-15 13:25:20+00:00,100
