Date,Price (USD)
2023-11-09 00:00:00+00:00,101
2023-11-09 00:06:03+00:00,90
2023-11-09 00:12:06+00:00,83
2023-11-09 00:18:09+00:00,86
2023-11-09 00:24:12+00:00,86
2023-11-09 00:30:15+00:00,86
2023-11-09 00:36:18+00:00,86
2023-11-09 00:42:21+00:00,90
2023-11-09 00:48:24+00:00,90
2023-11-09 00:54:27+00:00,89
2023-11-09 01:00:30+00:00,89
2023-11-09 01:06:33+00:00,99
2023-11-09 01:12:36+00:00,115
2023-11-09 01:18:39+00:00,114
2023-11-09 01:24:42+00:00,94
2023-11-09 01:30:45+00:00,83
2023-11-09 01:36:48+00:00,87
2023-11-09 01:42:51+00:00,94
2023-11-09 01:48:54+00:00,85
2023-11-09 01:54:57+00:00,81
2023-11-09 02:01:00+00:00,102
2023-11-09 02:07:03+00:00,102
2023-11-09 02:13:06+00:00,102
2023-11-09 02:19:09+00:00,95
2023-11-09 02:25:12+00:00,86
2023-11-09 02:31:15+00:00,105
2023-11-09 02:37:18+00:00,93
2023-11-09 02:43:21+00:00,98
2023-11-09 02:49:24+00:00,94
2023-11-09 02:55:27+00:00,93
2023-11-09 03:01:30+00:00,119
2023-11-09 03:07:33+00:00,96
2023-11-09 03:13:36+00:00,92
2023-11-09 03:19:39+00:00,103
2023-11-09 03:25:42+00:00,103
2023-11-09 03:31:45+00:00,98
2023-11-09 03:37:48+00:00,86
2023-11-09 03:43:51+00:00,86
2023-11-09 03:49:54+00:00,106
2023-11-09 03:55:57+00:00,129
2023-11-09 04:02:00+00:00,96
2023-11-09 04:08:03+00:00,87
2023-11-09 04:14:06+00:00,102
2023-11-09 04:20:09+00:00,102
2023-11-09 04:26:12+00:00,90
2023-11-09 04:32:15+00:00,90
2023-11-09 04:38:18+00:00,99
2023-11-09 04:44:21+00:00,108
2023-11-09 04:50:24+00:00,108
2023-11-09 04:56:27+00:00,101
2023-11-09 05:02:30+00:00,100
2023-11-09 05:08:33+00:00,104
2023-11-09 05:14:36+00:00,81
2023-11-09 05:20:39+00:00,81
2023-11-09 05:26:42+00:00,110
2023-11-09 05:32:45+00:00,86
2023-11-09 05:38:48+00:00,86
2023-11-09 05:44:51+00:00,87
2023-11-09 05:50:54+00:00,70
2023-11-09 05:56:57+00:00,70
2023-11-09 06:03:00+00:00,70
2023-11-09 06:09:03+00:00,81
2023-11-09 06:15:06+00:00,99
2023-11-09 06:21:09+00:00,99
2023-11-09 06:27:12+00:00,99
2023-11-09 06:33:15+00:00,85
2023-11-09 06:39:18+00:00,85
2023-11-09 06:45:21+00:00,110
2023-11-09 06:51:24+00:00,110
2023-11-09 06:57:27+00:00,113
2023-11-09 07:03:30+00:00,113
2023-11-09 07:09:33+00:00,110
2023-11-09 07:15:36+00:00,110
2023-11-09 07:21:39+00:00,110
2023-11-09 07:27:42+00:00,87
2023-11-09 07:33:45+00:00,87
2023-11-09 07:39:48+00:00,87
2023-11-09 07:45:51+00:00,87
2023-11-09 07:51:54+00:00,87
2023-11-09 07:57:57+00:00,105
2023-11-09 08:04:00+00:00,80
2023-11-09 08:10:03+00:00,77
2023-11-09 08:16:06+00:00,77
2023-11-09 08:22:09+00:00,77
2023-11-09 08:28:12+00:00,110
2023-11-09 08:34:15+00:00,110
2023-11-09 08:40:18+00:00,110
2023-11-09 08:46:21+00:00,103
2023-11-09 08:52:24+00:00,103
2023-11-09 08:58:27+00:00,103
2023-11-09 09:04:30+00:00,103
2023-11-09 09:10:33+00:00,103
2023-11-09 09:16:36+00:00,103
2023-11-09 09:22:39+00:00,88
2023-11-09 09:28:42+00:00,88
2023-11-09 09:34:45+00:00,88
2023-11-09 09:40:48+00:00,88
2023-11-09 09:46:51+00:00,88
2023-11-09 09:52:54+00:00,88
2023-11-09 09:58:57+00:00,88
2023-11-09 10:05:00+00:00,88
2023-11-09 10:11:03+00:00,88
2023-11-09 10:17:06+00:00,88
2023-11-09 10:23:09+00:00,88
2023-11-09 10:29:12+00:00,88
2023-11-09 10:35:15+00:00,81
2023-11-09 10:41:18+00:00,86
2023-11-09 10:47:21+00:00,86
2023-11-09 10:53:24+00:00,86
2023-11-09 10:59:27+00:00,86
2023-11-09 11:05:30+00:00,68
2023-11-09 11:11:33+00:00,68
2023-11-09 11:17:36+00:00,68
2023-11-09 11:23:39+00:00,109
2023-11-09 11:29:42+00:00,99
2023-11-09 11:35:45+00:00,79
2023-11-09 11:41:48+00:00,94
2023-11-09 11:47:51+00:00,94
2023-11-09 11:53:54+00:00,94
2023-11-09 11:59:57+00:00,94
